,list,Weighted_precision,Weighted_recall,Weighted_f1-score,Macro_precision,Macro_recall,Macro_f1-score,Micro_precision,Micro_recall,Micro_f1-score
73,"[3, 0, 1, 4, 2]",0.24425341422678606,0.261,0.24664287061932416,0.2443563660636862,0.2859850340136054,0.2570108119191208,0.261,0.261,0.261
74,"[3, 0, 2, 1, 4]",0.05724280410881037,0.071,0.06142704300471262,0.0700185936341037,0.09359727891156462,0.07854999245839962,0.071,0.071,0.071
75,"[3, 0, 2, 4, 1]",0.21283522678478176,0.211,0.20877717052684805,0.19808355443362125,0.2089850340136054,0.19991171169561842,0.211,0.211,0.211
76,"[3, 0, 4, 1, 2]",0.05664582828726684,0.063,0.05767268070543423,0.06163473256665854,0.07419727891156462,0.06554238340587447,0.063,0.063,0.063
77,"[3, 0, 4, 2, 1]",0.10372039783051872,0.098,0.09772968976880492,0.09883959904773906,0.10185034013605443,0.09717483368481195,0.098,0.098,0.09800000000000002
78,"[3, 1, 0, 2, 4]",0.27723917162283435,0.236,0.25100455343002975,0.23071499990737357,0.2111074829931973,0.2157846493380906,0.236,0.236,0.236
79,"[3, 1, 0, 4, 2]",0.38575702475555385,0.341,0.35829767188879447,0.32157509422581054,0.2988421768707483,0.3055139182963719,0.341,0.341,0.341
80,"[3, 1, 2, 0, 4]",0.2245241341810209,0.2,0.20729225706443957,0.18938733344309508,0.18563809523809524,0.1826300218821183,0.2,0.2,0.20000000000000004
81,"[3, 1, 2, 4, 0]",0.5465645535958695,0.473,0.5026437369576434,0.4836880268305464,0.4338421768707483,0.4517961569477359,0.473,0.473,0.473
82,"[3, 1, 4, 0, 2]",0.22392715835947738,0.192,0.20353789476516118,0.1810034723756499,0.16623809523809524,0.16962241282959317,0.192,0.192,0.192
83,"[3, 1, 4, 2, 0]",0.43744972464160653,0.36,0.3915962561996003,0.38444407144466425,0.3267074829931973,0.34905927893692945,0.36,0.36,0.36
84,"[3, 2, 0, 1, 4]",0.16976456083821737,0.142,0.14966261256574834,0.14846425240763134,0.1398829931972789,0.13871723828495053,0.142,0.142,0.142
85,"[3, 2, 0, 4, 1]",0.32535698351418874,0.282,0.29701274008788375,0.27652921320714885,0.2552707482993197,0.2600789575221693,0.282,0.282,0.282
86,"[3, 2, 1, 0, 4]",0.19554228038166016,0.191,0.18387302535600497,0.19061426405449833,0.21906666666666666,0.19429416133141805,0.191,0.191,0.191
87,"[3, 2, 1, 4, 0]",0.5175826997965088,0.464,0.4792245052492088,0.48491495744194973,0.46727074829931975,0.4634602963970357,0.464,0.464,0.464
88,"[3, 2, 4, 0, 1]",0.1635271171181123,0.133,0.14225296296425044,0.1359575913569882,0.12266666666666666,0.12418745205539053,0.133,0.133,0.133
89,"[3, 2, 4, 1, 0]",0.3299751138569896,0.266,0.29025431533531887,0.30219332394492204,0.25548299319727896,0.27199186788378943,0.266,0.266,0.266
90,"[3, 4, 0, 1, 2]",0.05362113692924214,0.069,0.0597320560503189,0.06904213997406594,0.09088299319727891,0.07781475952330082,0.069,0.069,0.069
91,"[3, 4, 0, 2, 1]",0.10069570647249403,0.104,0.09978906511368958,0.10624700645514647,0.1185360544217687,0.10944720980223828,0.104,0.104,0.104
92,"[3, 4, 1, 0, 2]",0.07939885647268495,0.118,0.09394246884057554,0.11119215162093295,0.17006666666666664,0.13339168256976833,0.118,0.118,0.118
93,"[3, 4, 1, 2, 0]",0.2929214227548141,0.286,0.28200083027501466,0.3146327506899473,0.3305360544217687,0.31282854867710463,0.286,0.286,0.286
94,"[3, 4, 2, 0, 1]",0.04798066903068063,0.068,0.05607676874809941,0.06491933999086799,0.09306666666666666,0.07629258234626594,0.068,0.068,0.068
95,"[3, 4, 2, 1, 0]",0.21442866576955785,0.201,0.20407812111916787,0.2311550725788018,0.22588299319727892,0.22409699817466483,0.201,0.201,0.201
96,"[4, 0, 1, 2, 3]",0.1956538177803027,0.232,0.20612507079393022,0.22298420390441417,0.2879170068027211,0.24531651697151272,0.232,0.232,0.232
97,"[4, 0, 1, 3, 2]",0.1963100433852988,0.235,0.20890195769822067,0.22006168243681082,0.2859578231292517,0.24366585869117885,0.235,0.235,0.235
98,"[4, 0, 2, 1, 3]",0.1171610607950465,0.147,0.12820236163808343,0.13950652579326875,0.18326394557823128,0.15658496646907288,0.147,0.147,0.147
99,"[4, 0, 2, 3, 1]",0.16489185594329447,0.185,0.17103625760574453,0.17378887080674582,0.2089578231292517,0.1865667584676765,0.185,0.185,0.185
100,"[4, 0, 3, 1, 2]",0.10097985470605352,0.132,0.11150895342759941,0.12491343445837413,0.17366394557823128,0.14267269545949685,0.132,0.132,0.132
101,"[4, 0, 3, 2, 1]",0.1480544242493054,0.167,0.1515659624909701,0.16211830093945465,0.2013170068027211,0.1743051457384343,0.167,0.167,0.167
102,"[4, 1, 0, 2, 3]",0.3371574283090704,0.312,0.3177798720634005,0.3002029320665386,0.30077414965986393,0.2938196233487639,0.312,0.312,0.312
103,"[4, 1, 0, 3, 2]",0.33781365391406654,0.315,0.3205567589676909,0.2972804105989352,0.29881496598639457,0.29216896506843004,0.315,0.315,0.315
104,"[4, 1, 2, 0, 3]",0.28444239086725703,0.276,0.27406757569781043,0.2588752656022601,0.2753047619047619,0.2606649958927916,0.276,0.276,0.276
105,"[4, 1, 2, 3, 0]",0.4986211827543822,0.447,0.4649028240365399,0.45939334320367103,0.4338149659863945,0.43845120371979396,0.447,0.447,0.447
106,"[4, 1, 3, 0, 2]",0.26826118477826405,0.261,0.25737416748732644,0.24428217426736548,0.2657047619047619,0.24675272488321554,0.261,0.261,0.261
107,"[4, 1, 3, 2, 0]",0.4817837510603932,0.429,0.44543252892176555,0.44772277333637983,0.42617414965986394,0.42618959099055187,0.429,0.429,0.429
